#,id,bureau_score,score_band,report_status,total_accounts,active_accounts,overdue_accounts,dpd_max,credit_utilization_pct,emi_to_income_ratio,tradelines,enquiries,mock_raw_report,created_at,loan_application_id,user_id
1228,1228,300,low,mocked,8,1,0,30,15.7,0.21,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 15425.3}]","{""bureau_score"": 300, ""report_number"": ""f2e57e27-7368-4a22-bd37-71a116a7faf9"", ""assessment_date"": ""2025-03-08""}",2025-05-11 10:03:50.170874,1228,5247
1229,1229,588,low,mocked,11,5,0,0,5.67,0.11,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 19163.4}]","{""bureau_score"": 588, ""report_number"": ""3c478649-ffe8-4f40-96bd-f13ed1fae365"", ""assessment_date"": ""2025-03-18""}",2025-05-11 10:03:50.201193,1229,3054
1230,1230,783,high,mocked,7,5,0,0,83.28,1.06,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 92166.5}]","{""bureau_score"": 783, ""report_number"": ""acca1afb-f663-4f87-bf5b-99439a1cdaf4"", ""assessment_date"": ""2025-02-21""}",2025-05-11 10:03:50.224305,1230,1156
1231,1231,494,low,mocked,6,1,0,0,30.76,3.12,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 85929.7}]","{""bureau_score"": 494, ""report_number"": ""1e68119b-7370-47fd-8f70-c512c910eca7"", ""assessment_date"": ""2025-04-01""}",2025-05-11 10:03:50.246019,1231,3090
1232,1232,669,medium,mocked,3,2,0,0,33.54,0.18,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 13559.0}]","{""bureau_score"": 669, ""report_number"": ""c173fe80-fd24-4493-90fc-6a6f344d3cfa"", ""assessment_date"": ""2025-03-16""}",2025-05-11 10:03:50.278806,1232,1454
1233,1233,779,high,mocked,4,3,2,60,80.41,0.29,"[{""dpd"": 60, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 62336.0}]","{""bureau_score"": 779, ""report_number"": ""17ca896e-6102-404a-bc41-dc4ccc3b062b"", ""assessment_date"": ""2025-03-31""}",2025-05-11 10:03:50.306274,1233,1064
1234,1234,423,low,mocked,3,1,1,30,10.51,0.33,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 82831.8}]","{""bureau_score"": 423, ""report_number"": ""a61a5db6-ec5d-4abb-bb4e-8d965704f0b4"", ""assessment_date"": ""2025-01-01""}",2025-05-11 10:03:50.325769,1234,4556
1235,1235,695,medium,mocked,5,1,0,0,54.52,0.1,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 44661.3}]","{""bureau_score"": 695, ""report_number"": ""7f93f7b4-127a-4440-85e6-e8bf6acbcdca"", ""assessment_date"": ""2025-02-10""}",2025-05-11 10:03:50.358148,1235,2821
1236,1236,487,low,mocked,13,2,0,0,28.59,0.07,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 9659.7}]","{""bureau_score"": 487, ""report_number"": ""8ca179ea-fcc6-4e75-8fec-e834b746bc87"", ""assessment_date"": ""2025-04-30""}",2025-05-11 10:03:50.388323,1236,3188
1237,1237,472,low,mocked,8,7,0,0,51.83,0.12,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 31561.8}]","{""bureau_score"": 472, ""report_number"": ""b4ce87f8-e407-4095-9fb7-c2fea97b8a7e"", ""assessment_date"": ""2025-03-23""}",2025-05-11 10:03:50.407307,1237,5935
1238,1238,640,low,mocked,2,2,0,0,1.55,0.14,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 47374.1}]","{""bureau_score"": 640, ""report_number"": ""80ce5816-83ad-4951-8620-7fc22cafd0f8"", ""assessment_date"": ""2025-04-17""}",2025-05-11 10:03:50.425629,1238,3614
1239,1239,437,low,mocked,6,6,3,60,64.07,0.02,"[{""dpd"": 60, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 7178.7}]","{""bureau_score"": 437, ""report_number"": ""d1b40a15-9f6d-448d-bf73-773a8591374b"", ""assessment_date"": ""2025-04-14""}",2025-05-11 10:03:50.456493,1239,2207
1240,1240,784,high,mocked,6,3,0,0,66.15,2.18,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 47300.4}]","{""bureau_score"": 784, ""report_number"": ""1f71e7e9-8bb2-4258-8586-6a317db08a5f"", ""assessment_date"": ""2025-03-14""}",2025-05-11 10:03:50.483613,1240,2082
1241,1241,343,low,mocked,5,2,0,60,96.06,0.47,"[{""dpd"": 60, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 77991.1}]","{""bureau_score"": 343, ""report_number"": ""c4853b52-3969-438f-ba71-395c1a755a89"", ""assessment_date"": ""2025-04-17""}",2025-05-11 10:03:50.503354,1241,5473
1242,1242,586,low,mocked,9,3,3,30,93.22,0.29,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 98278.1}]","{""bureau_score"": 586, ""report_number"": ""5793aa89-6555-4a97-8e8c-96c535ad1492"", ""assessment_date"": ""2025-04-30""}",2025-05-11 10:03:50.522533,1242,1628
1243,1243,365,low,mocked,9,5,0,0,84.87,0.34,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 40007.1}]","{""bureau_score"": 365, ""report_number"": ""0f4a0402-db84-4c9b-b538-4be850f5cb49"", ""assessment_date"": ""2025-03-22""}",2025-05-11 10:03:50.553509,1243,2379
1244,1244,519,low,mocked,2,1,0,0,23.15,0.15,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 90405.6}]","{""bureau_score"": 519, ""report_number"": ""fba7a1a2-840e-4a1e-a55f-f292f5d8f083"", ""assessment_date"": ""2025-04-14""}",2025-05-11 10:03:50.590204,1244,2669
1245,1245,695,medium,mocked,3,1,1,30,85.29,3.65,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 71155.3}]","{""bureau_score"": 695, ""report_number"": ""0a183c52-d4f8-4243-9ef7-839a0e7f7ce3"", ""assessment_date"": ""2025-05-01""}",2025-05-11 10:03:50.639626,1245,9694
1246,1246,847,high,mocked,3,1,1,30,8.34,0.51,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 67259.7}]","{""bureau_score"": 847, ""report_number"": ""e92dde0e-aa3f-4ed7-8f7c-aefe3fddff07"", ""assessment_date"": ""2025-02-13""}",2025-05-11 10:03:50.665883,1246,7655
1247,1247,565,low,mocked,11,1,0,0,31.84,1.25,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 64832.2}]","{""bureau_score"": 565, ""report_number"": ""473e0f8c-8be9-49e7-9816-09cc1c84f39c"", ""assessment_date"": ""2025-03-10""}",2025-05-11 10:03:50.697324,1247,6376
1248,1248,539,low,mocked,10,8,0,30,22.96,3,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 82501.1}]","{""bureau_score"": 539, ""report_number"": ""2d64ace4-0c0c-4ef3-83c1-c134d863b3a9"", ""assessment_date"": ""2025-03-27""}",2025-05-11 10:03:50.732816,1248,5373
1249,1249,450,low,mocked,15,9,2,30,66.07,0.24,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 34411.1}]","{""bureau_score"": 450, ""report_number"": ""7a09d322-2bba-43e6-807c-8e8c53d4c0b8"", ""assessment_date"": ""2025-04-30""}",2025-05-11 10:03:50.760098,1249,1885
1250,1250,733,medium,mocked,4,3,0,0,61.28,0.07,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 36512.2}]","{""bureau_score"": 733, ""report_number"": ""1155fb74-2cd6-42d2-be97-953660873411"", ""assessment_date"": ""2025-02-05""}",2025-05-11 10:03:50.778305,1250,4464
1251,1251,437,low,mocked,5,2,0,0,10.36,0.09,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 51272.0}]","{""bureau_score"": 437, ""report_number"": ""04c09562-7a21-4a8c-8752-abb8606b88d2"", ""assessment_date"": ""2025-05-02""}",2025-05-11 10:03:50.802376,1251,2463
1252,1252,803,high,mocked,6,1,1,30,82.98,0.07,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 38976.2}]","{""bureau_score"": 803, ""report_number"": ""5d75f28a-9a74-4e00-a419-b8d1afcc0e67"", ""assessment_date"": ""2025-02-26""}",2025-05-11 10:03:50.845793,1252,2661
1253,1253,470,low,mocked,8,4,0,0,46.94,0.6,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 44317.1}]","{""bureau_score"": 470, ""report_number"": ""1edf94dc-1c3b-450a-9ef9-7bc49f5bc65e"", ""assessment_date"": ""2025-03-18""}",2025-05-11 10:03:50.867346,1253,6954
1254,1254,320,low,mocked,4,3,0,60,81.12,0.06,"[{""dpd"": 60, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 37485.6}]","{""bureau_score"": 320, ""report_number"": ""46555706-805a-4018-b602-0ee5e0fb6745"", ""assessment_date"": ""2025-03-18""}",2025-05-11 10:03:50.893177,1254,724
1255,1255,819,high,mocked,11,10,0,0,77.26,0.07,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 37116.3}]","{""bureau_score"": 819, ""report_number"": ""46d83b4c-17f3-463e-82f8-f2ce26f68131"", ""assessment_date"": ""2025-02-20""}",2025-05-11 10:03:50.923956,1255,5012
1256,1256,339,low,mocked,11,1,0,0,15.39,0.1,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 50006.5}]","{""bureau_score"": 339, ""report_number"": ""72f02c09-bd5b-4f3c-aaeb-a3d3e711d8b2"", ""assessment_date"": ""2025-02-02""}",2025-05-11 10:03:50.952940,1256,2730
1257,1257,782,high,mocked,13,8,0,0,63.34,0.17,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 18235.5}]","{""bureau_score"": 782, ""report_number"": ""f1e72c28-be43-465b-87f7-318eff65a913"", ""assessment_date"": ""2025-03-09""}",2025-05-11 10:03:50.975367,1257,8561
1258,1258,578,low,mocked,1,1,0,0,9.9,0.06,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 40460.2}]","{""bureau_score"": 578, ""report_number"": ""96cfd8e0-4cc8-4486-974f-ed6e1fe253f1"", ""assessment_date"": ""2025-03-25""}",2025-05-11 10:03:51.009883,1258,7905
1259,1259,594,low,mocked,12,1,0,0,77.39,0.81,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 41000.6}]","{""bureau_score"": 594, ""report_number"": ""9a48aa7f-ac65-42d7-ab31-bc6cfc024da1"", ""assessment_date"": ""2025-04-12""}",2025-05-11 10:03:51.043053,1259,345
1260,1260,643,low,mocked,1,1,0,0,71.85,1.19,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 94347.6}]","{""bureau_score"": 643, ""report_number"": ""bc6f9191-9d4e-4629-81f8-5cf79e345def"", ""assessment_date"": ""2025-02-22""}",2025-05-11 10:03:51.064513,1260,7817
1261,1261,384,low,mocked,14,8,1,30,1.21,0.78,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 72551.2}]","{""bureau_score"": 384, ""report_number"": ""e438c5b3-8462-45ac-87ff-3ae01cb8b08c"", ""assessment_date"": ""2025-01-08""}",2025-05-11 10:03:51.096208,1261,8549
1262,1262,354,low,mocked,1,1,0,30,81.51,0.28,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 81262.1}]","{""bureau_score"": 354, ""report_number"": ""daa1361d-22cb-401b-9451-6d9cb3794df3"", ""assessment_date"": ""2025-01-28""}",2025-05-11 10:03:51.131493,1262,3633
1263,1263,802,high,mocked,11,1,0,0,87.39,0.21,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 80549.3}]","{""bureau_score"": 802, ""report_number"": ""6a80f123-d966-4cd1-aeef-1270b88da1b7"", ""assessment_date"": ""2025-01-01""}",2025-05-11 10:03:51.156117,1263,495
1264,1264,680,medium,mocked,2,1,0,0,81.45,0.06,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 13611.4}]","{""bureau_score"": 680, ""report_number"": ""172a59d3-ed1f-490e-a43b-6eb5770b5ea9"", ""assessment_date"": ""2025-03-03""}",2025-05-11 10:03:51.183037,1264,4685
1265,1265,669,medium,mocked,9,2,0,0,41.44,0.1,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 55989.0}]","{""bureau_score"": 669, ""report_number"": ""de21813c-10b3-4494-8d82-fb86ea510eb6"", ""assessment_date"": ""2025-04-15""}",2025-05-11 10:03:51.220230,1265,5478
1266,1266,341,low,mocked,2,2,0,0,90.66,0.13,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 56170.7}]","{""bureau_score"": 341, ""report_number"": ""c5ba2fbb-ba74-4e33-8f1a-55de228f5ebf"", ""assessment_date"": ""2025-04-23""}",2025-05-11 10:03:51.246499,1266,1821
1267,1267,392,low,mocked,2,1,0,0,96.75,0.81,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 64595.0}]","{""bureau_score"": 392, ""report_number"": ""37b937df-793d-4bcb-94e6-1f0e95d55bfd"", ""assessment_date"": ""2025-04-16""}",2025-05-11 10:03:51.273559,1267,4309
1268,1268,324,low,mocked,2,1,0,0,11.14,0.21,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 49965.3}]","{""bureau_score"": 324, ""report_number"": ""15590876-33d7-4065-8289-ba0d6cf0f7ed"", ""assessment_date"": ""2025-02-09""}",2025-05-11 10:03:51.307795,1268,98
1269,1269,553,low,mocked,11,5,0,0,51.38,0.19,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 54813.7}]","{""bureau_score"": 553, ""report_number"": ""faa99faf-9182-4458-833c-11b67a92bf45"", ""assessment_date"": ""2025-03-05""}",2025-05-11 10:03:51.337251,1269,3015
1270,1270,488,low,mocked,4,1,0,0,58.91,1.06,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 68704.2}]","{""bureau_score"": 488, ""report_number"": ""c9e81de8-3b95-4070-9084-7402704c0849"", ""assessment_date"": ""2025-02-07""}",2025-05-11 10:03:51.362030,1270,9046
1271,1271,685,medium,mocked,5,2,2,30,19.02,0.24,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 27103.4}]","{""bureau_score"": 685, ""report_number"": ""a7afbe90-2d2e-4837-9028-7c3a6794db80"", ""assessment_date"": ""2025-03-31""}",2025-05-11 10:03:51.401144,1271,8353
1272,1272,547,low,mocked,10,8,0,0,45.63,0.02,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 6101.3}]","{""bureau_score"": 547, ""report_number"": ""f47f6b9d-a4a8-4c93-a4ac-98fe9bff583f"", ""assessment_date"": ""2025-01-02""}",2025-05-11 10:03:51.429754,1272,5505
1273,1273,483,low,mocked,10,1,0,0,27.68,0.43,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 47120.9}]","{""bureau_score"": 483, ""report_number"": ""5b7b77fe-7be4-4d02-bfff-2a38fca3b4bd"", ""assessment_date"": ""2025-03-08""}",2025-05-11 10:03:51.453651,1273,6987
1274,1274,643,low,mocked,5,1,0,0,45.63,0.39,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 87587.6}]","{""bureau_score"": 643, ""report_number"": ""0534afbc-3194-4f4d-a52d-e2a9fd6be145"", ""assessment_date"": ""2025-03-21""}",2025-05-11 10:03:51.491079,1274,5582
1275,1275,406,low,mocked,10,2,2,30,44.94,1.92,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 30049.5}]","{""bureau_score"": 406, ""report_number"": ""f694e8a2-6baa-4255-8b13-63cdc678739b"", ""assessment_date"": ""2025-02-06""}",2025-05-11 10:03:51.521198,1275,2920
1276,1276,330,low,mocked,1,1,0,0,52.27,0.1,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 12561.9}]","{""bureau_score"": 330, ""report_number"": ""3eb8868a-72db-4741-acf6-4486e23fdfaa"", ""assessment_date"": ""2025-04-25""}",2025-05-11 10:03:51.545476,1276,1353
1277,1277,425,low,mocked,10,7,0,30,79.52,0.07,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 17952.9}]","{""bureau_score"": 425, ""report_number"": ""bc79c509-6b29-4c90-9bc7-4192e7a949fd"", ""assessment_date"": ""2025-01-31""}",2025-05-11 10:03:51.584988,1277,252
1278,1278,365,low,mocked,4,4,0,0,74.55,0.78,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 40960.3}]","{""bureau_score"": 365, ""report_number"": ""2975ba77-9aff-45f7-8a7f-1dd8c5c330e7"", ""assessment_date"": ""2025-05-01""}",2025-05-11 10:03:51.634466,1278,3157
1279,1279,330,low,mocked,2,2,0,0,42.32,0.12,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 17652.4}]","{""bureau_score"": 330, ""report_number"": ""c93f2705-257b-4e29-9195-a5153fb3f36e"", ""assessment_date"": ""2025-04-29""}",2025-05-11 10:03:51.672395,1279,7936
1280,1280,685,medium,mocked,9,2,1,30,29.6,0.05,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 23840.5}]","{""bureau_score"": 685, ""report_number"": ""57bd1bdd-6c95-494a-a5b1-6777ca4f525f"", ""assessment_date"": ""2025-04-28""}",2025-05-11 10:03:51.698932,1280,5692
1281,1281,750,high,mocked,15,2,1,30,5.82,0.03,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 6441.0}]","{""bureau_score"": 750, ""report_number"": ""b641efcc-7992-4615-96b4-86d0e72063e9"", ""assessment_date"": ""2025-03-18""}",2025-05-11 10:03:51.719272,1281,2124
1282,1282,630,low,mocked,1,1,1,30,56.06,0.55,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 71939.7}]","{""bureau_score"": 630, ""report_number"": ""767b7a1b-979f-4100-b6ab-6bbe90247a4c"", ""assessment_date"": ""2025-02-24""}",2025-05-11 10:03:51.751297,1282,458
1283,1283,442,low,mocked,7,4,0,0,65.35,0.04,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 7531.8}]","{""bureau_score"": 442, ""report_number"": ""0a02b509-91c6-479b-9a35-576969f784b2"", ""assessment_date"": ""2025-04-18""}",2025-05-11 10:03:51.779677,1283,3667
1284,1284,517,low,mocked,8,7,1,30,36.26,0.17,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 49444.5}]","{""bureau_score"": 517, ""report_number"": ""e0b89986-ac5f-43f3-8c11-864489e58e00"", ""assessment_date"": ""2025-04-18""}",2025-05-11 10:03:51.802286,1284,4752
1285,1285,353,low,mocked,9,9,2,60,5.14,0.34,"[{""dpd"": 60, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 37275.7}]","{""bureau_score"": 353, ""report_number"": ""2343478f-e018-45ec-86ed-c511b6521674"", ""assessment_date"": ""2025-01-18""}",2025-05-11 10:03:51.839035,1285,6620
1286,1286,618,low,mocked,10,10,0,0,8.71,0.15,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 75226.6}]","{""bureau_score"": 618, ""report_number"": ""f070fd90-2cc4-4eac-ae4a-a53945af0ee0"", ""assessment_date"": ""2025-04-04""}",2025-05-11 10:03:51.866242,1286,5920
1287,1287,811,high,mocked,13,5,0,0,40.1,0.17,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 62480.7}]","{""bureau_score"": 811, ""report_number"": ""efda81de-c734-4c2d-9b4f-140cac17249c"", ""assessment_date"": ""2025-04-03""}",2025-05-11 10:03:51.890303,1287,8447
1288,1288,340,low,mocked,5,1,0,0,53.76,0.77,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 65173.9}]","{""bureau_score"": 340, ""report_number"": ""352e13a4-018c-447f-a3e6-5770235e7128"", ""assessment_date"": ""2025-02-01""}",2025-05-11 10:03:51.917281,1288,7695
1289,1289,353,low,mocked,4,2,0,0,97.94,0.22,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 12372.6}]","{""bureau_score"": 353, ""report_number"": ""f7dd574a-1556-4459-bc39-5a7eff9c0a3e"", ""assessment_date"": ""2025-03-04""}",2025-05-11 10:03:51.951675,1289,6729
1290,1290,633,low,mocked,6,2,0,0,89.11,1.05,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 65964.9}]","{""bureau_score"": 633, ""report_number"": ""24ab1c1b-3e92-4630-a879-87c6b37bfc55"", ""assessment_date"": ""2025-04-13""}",2025-05-11 10:03:51.975010,1290,6795
1291,1291,478,low,mocked,12,8,2,30,57.62,0.02,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 9284.7}]","{""bureau_score"": 478, ""report_number"": ""536fd621-c367-4182-9548-300f3f32e428"", ""assessment_date"": ""2025-04-21""}",2025-05-11 10:03:51.997123,1291,7658
1292,1292,471,low,mocked,13,1,0,0,36.88,0.05,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 24418.3}]","{""bureau_score"": 471, ""report_number"": ""04c116c4-8c2a-445b-a577-030980e7c025"", ""assessment_date"": ""2025-04-18""}",2025-05-11 10:03:52.027001,1292,9952
1293,1293,338,low,mocked,4,2,0,0,13.52,1.19,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 93224.4}]","{""bureau_score"": 338, ""report_number"": ""baa1422d-b7c8-4c78-aaa0-c7f2740c16f9"", ""assessment_date"": ""2025-01-04""}",2025-05-11 10:03:52.079551,1293,6983
1294,1294,302,low,mocked,11,4,2,30,21.76,0.43,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 78911.9}]","{""bureau_score"": 302, ""report_number"": ""6837b0f3-86ab-4e43-aff8-a64564396e6c"", ""assessment_date"": ""2025-02-02""}",2025-05-11 10:03:52.112860,1294,6462
1295,1295,541,low,mocked,4,2,0,0,53.88,0.76,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 31263.0}]","{""bureau_score"": 541, ""report_number"": ""83a2e685-087d-4d94-a295-3c409993a412"", ""assessment_date"": ""2025-02-09""}",2025-05-11 10:03:52.138209,1295,6553
